scenario_id,frame_idx,timestamp,ego_speed_ms,vru_distance_m,lighting,weather,road_condition,prism_score,prism_tier,top_factor,static_cue,adaptive_cue,under_warning,lead_time_s
prism_ar_emergency_0000,0,0.0,12.657494516534312,54.568846834836805,night,rain,wet,80.20350409932001,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,1,0.1,12.657494516534312,53.26778373066624,night,rain,wet,79.91133961442524,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,2,0.2,12.657494516534312,51.96678007390656,night,rain,wet,79.60920130903129,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,3,0.3,12.657494516534312,50.66584044405167,night,rain,wet,79.29675022814851,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,4,0.4,12.657494516534312,49.36496990310053,night,rain,wet,78.97363607422893,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,5,0.5,12.657494516534312,48.06417406078596,night,rain,wet,78.63949684093537,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,6,0.6,12.657494516534312,46.763459150672624,night,rain,wet,78.29395843013867,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,7,0.7,12.657494516534312,45.46283211929624,night,rain,wet,77.93663424666441,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,8,0.8,12.657494516534312,44.16230073102612,night,rain,wet,77.56712476197845,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,9,0.9,12.657494516534312,42.861873691982424,night,rain,wet,77.18501703275064,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,10,1.0,12.657494516534312,41.56156079717061,night,rain,wet,76.78988415200065,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,11,1.1,12.657494516534312,40.26137310606721,night,rain,wet,76.38128459766189,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,12,1.2,12.657494516534312,38.961323153283494,night,rain,wet,75.95876142335354,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,13,1.3,12.657494516534312,37.66142520275628,night,rain,wet,75.52184120499739,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,14,1.4,12.657494516534312,36.361695556321585,night,rain,wet,75.07003260859967,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,15,1.5,12.657494516534312,35.06215293073168,night,rain,wet,74.6028243697096,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,16,1.6,12.657494516534312,33.76281892148529,night,rain,wet,74.11968235941255,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,17,1.7,12.657494516534312,32.463718577691985,night,rain,wet,73.62004523315511,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,18,1.8,12.657494516534312,31.164881120224898,night,rain,wet,73.10331788336103,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,19,1.9,12.657494516534312,29.86634084657019,night,rain,wet,72.56886149275728,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,20,2.0,12.657494516534312,28.568138281464055,night,rain,wet,72.01597833311514,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,21,2.1,12.657494516534312,27.270321654754763,night,rain,wet,71.44388845233959,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,22,2.2,12.657494516534312,25.972948820230457,night,rain,wet,70.8516938565981,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,23,2.3,12.657494516534312,24.6760897765919,night,rain,wet,70.23832344273748,silent,trajectory,advisory,silent,0,0.0
prism_ar_emergency_0000,24,2.4,12.657494516534312,23.379830022609774,night,rain,wet,69.60244834533897,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,25,2.5,12.657494516534312,22.084275086346317,night,rain,wet,68.9423518952988,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,26,2.6,12.657494516534312,20.789556735830054,night,rain,wet,68.25573009464321,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,27,2.7,12.657494516534312,19.49584164468839,night,rain,wet,67.5393860032263,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,28,2.8,12.657494516534312,18.203343719680316,night,rain,wet,66.78876270559377,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,29,2.9,12.657494516534312,16.912342022868163,night,rain,wet,65.99723180371362,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,30,3.0,12.657494516534312,15.623207474769998,night,rain,wet,65.15501405810815,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,31,3.1,12.657494516534312,14.336443766866847,night,rain,wet,64.24755184507438,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,32,3.2,12.657494516534312,13.05275208302641,night,rain,wet,63.25307687845888,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,33,3.3,12.657494516534312,11.773137346559515,night,rain,wet,62.13902587306555,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,34,3.4,12.657494516534312,10.499090341574737,night,rain,wet,60.856881346420465,advisory,trajectory,advisory,advisory,0,0.0
prism_ar_emergency_0000,35,3.5,12.657494516534312,9.23291622401776,night,rain,wet,59.33506215557085,advisory,trajectory,advisory,advisory,0,0.0
